prd,N,sigma_legacy,sigma_uwm,log_eps_legacy,log_eps_uwm,R2_legacy,dim_uwm,ratio,pct_diff,legacy_ok,uwm_ok
29,156,11170.318746785595,11295.122796853835,17.948883674692386,17.97110542070355,0.9998785147457278,2.864983866150952,0.988950624768506,-1.1049375231493963,True,True
30,152,11215.364012867482,11325.574600494214,17.956932627652748,17.9764901922693,0.9998788141270395,2.862325237193218,0.9902688745150358,-0.9731125484964243,True,True
31,163,11094.033960383562,11243.97576932132,17.935178342958423,17.962028373513395,0.9998780174541295,2.8684980146810855,0.9866646983225571,-1.3335301677442901,True,True
32,213,10839.041542888877,10939.687080375748,17.888672524503654,17.90715776406118,0.9998750197487091,3.171486397298877,0.990799961941561,-0.9200038058439053,True,True
33,226,10787.552072649918,10906.341667728668,17.879149144457347,17.90105222626698,0.9998743685297996,3.192240874089445,0.9891082089028769,-1.0891791097123127,True,True
34,307,10481.904715971677,10719.962969730672,17.821664197576336,17.866578780045373,0.9998710729301132,3.265545626213537,0.9777929966333666,-2.2207003366633393,True,True
35,268,10596.2224992245,10790.469038712943,17.843358516616664,17.879689873575323,0.9998725180109009,3.226625478807354,0.9819983228911046,-1.8001677108895442,True,True
36,205,10855.613219594745,10952.487450500934,17.891727964677354,17.909496567192104,0.9998754400715222,3.150616615695564,0.991155047531987,-0.8844952468012979,True,True
37,365,10309.71129608916,10621.458370349854,17.788535968039543,17.848116036192955,0.999869266058111,3.294457601554905,0.9706493154338443,-2.935068456615575,True,True
38,146,11243.928906192377,11347.47014116586,17.962020037809445,17.980353025466634,0.9998792748132516,2.8435079777158516,0.990875390401085,-0.9124609598915034,True,True
39,196,10909.718083676717,10986.053880404674,17.90167129607399,17.91561665614243,0.9998759421616186,3.140158710148262,0.9930515726976259,-0.6948427302374105,True,True
40,225,10811.586496151107,10919.388426237914,17.883600142971854,17.903443305054644,0.9998744158533749,3.1995276034262514,0.9901274754703503,-0.9872524529649707,True,True
41,132,11364.123545895554,11432.592056835145,17.98328604865185,17.9952998348499,0.9998804422266541,2.8109238388405537,0.9940111122132924,-0.5988887786707586,True,True
42,266,10642.73961602979,10814.505541080009,17.85211924436449,17.884140054656612,0.999872600720112,3.2431575934895496,0.9841170801200528,-1.5882919879947166,True,True
43,227,10771.453549937805,10897.46881796936,17.87616226723563,17.899424464870886,0.9998743185978657,3.188393084671885,0.9884362809257355,-1.1563719074264456,True,True
44,164,11090.807331482894,11241.313755030653,17.934596571129457,17.961554816915385,0.99987794561713,2.871616844493747,0.9866113136927253,-1.3388686307274744,True,True
45,450,10131.467555261459,10145.413703959604,17.753655737315,17.756406880495046,0.9998671318057373,3.6299548281278895,0.9986253740749179,-0.13746259250820847,True,True
46,118,11426.620101389564,11483.00102071396,17.994254837228787,18.0040989167707,0.9998817518133603,2.749197306913167,0.9950900536172825,-0.4909946382717467,True,True
47,370,10292.859547486856,10612.434763273828,17.785264191427125,17.846416186323232,0.9998691219484777,3.2946328745215374,0.9698867203506477,-3.0113279649352287,True,True
48,185,10931.638590593218,11003.84138936479,17.90568579290279,17.918852235506755,0.9998765842165205,3.1065303627417054,0.9934384006260436,-0.6561599373956395,True,True
49,305,10465.685672899594,10712.931060234627,17.81856712607321,17.865266421623122,0.9998711375138536,3.253086504363385,0.9769208458502282,-2.3079154149771797,True,True
50,173,,,,,,,,,False,False
51,276,,,,,,,,,False,False
52,565,,,,,,,,,False,False
